tweet_id,text,author,created_at,favorite_count,retweet_count,language
2080641793549561924,"&gt; Mohd Junaid is arranging foods and water at CJP protest since day one.

&gt; UP police has raided his house, his father and minor brother arrested.

&gt; Police also raided his sister's house, tortured and arrested her family.

&gt; Let's see how many people form CJP help him. https://t.co/4yLlPvBlzZ",_shiblee,Fri Jul 24 13:10:34 +0000 2026,8006,3496,en
2080925579814342668,"#LIVE | Delhi Police addresses Press Conference on CJP Protest 

#WATCH-https://t.co/g3gOJYcYse https://t.co/h7eY7yw2Ld",DDNewslive,Sat Jul 25 07:58:14 +0000 2026,125,19,en
2080987921121722497,"CJP has demanded that all legal cases filed against protesters and organizers be withdrawn, and that no future cases be registered against them.

Peaceful protesters should not be unnecessarily targeted. 

But those who damaged public property, vandalized vehicles, or attacked",FabulasGuy,Sat Jul 25 12:05:57 +0000 2026,328,70,en
2080954185412215144,"🚨 SHOCKING! 
CJP now adds new demand:

-&gt; Public Apology From RAF &amp; Delhi Police

They say protest won't end before this 🤯 https://t.co/d0bDTgncxS",Indian_Analyzer,Sat Jul 25 09:51:54 +0000 2026,431,72,en
2080596029582487930,"Delhi Police released CCTV footage from 20th July showing CJP goons breaking the barricades to head to Parliament, which led to a lathi-charge. https://t.co/W6cDrAjImr",treeni,Fri Jul 24 10:08:43 +0000 2026,6921,1989,en
2080992133775794533,"CJP agrees to withdraw protest 

Delhi police and RAF deployed at jantar mantar :  https://t.co/omHcdTfKVX",swatic12,Sat Jul 25 12:22:42 +0000 2026,74,4,en
2080988366892663285,"🚨 BIG BREAKING 

CJP has OFFICIALLY called off its protest after the Government ACCEPTED all of its demands.

— All FIRs against protesters will be WITHDRAWN. 
— Compensation for the family of the NEET student who died by suicide has been ACCEPTED.",MeghUpdates,Sat Jul 25 12:07:44 +0000 2026,607,193,en
2079684550926671878,"🚨Beware India !!  Deep State Conspiracy ! 
George Soros has Destroyed 40+Countries in the World ! 

🚨Now He wants to Destroy India And Some Traitors of India are Helping him in his Project ! 

➡️ 2019 -  Anti-CAA Riots ! 
➡️ 2020 - Delhi Riots ! 
➡️ 2021 -  Farmer Protests ! https://t.co/mzaaBHJEZE",MonaPatelT,Tue Jul 21 21:46:50 +0000 2026,5003,2542,en
2080918393054802177,"Hooliganism, vulgar abuses, mob-lynching, food porn, parties, dance, 'Taharrush', harassment of journalists, anti-Hindu statements— the CJP protest has shown everything.

But not actual aspirants. https://t.co/rbk1XkbAav",treeni,Sat Jul 25 07:29:41 +0000 2026,726,269,en
2080910586326695988,"CJP warned Yogi Adityanath.

 Saying, Yogi ji, stop paper leaks in your state. Otherwise, there will be a bigger protest in Uttar Pradesh than at Jantar Mantar.

But why only BJP-ruled states? Why not Karnataka and Punjab as well? https://t.co/XWPrfJaVq9",SpiderAlert24,Sat Jul 25 06:58:39 +0000 2026,340,120,en
2080597025968861235,"""I scored 96% in JEE Main, yet couldn't get into IIT Delhi. My friend scored 79% and got in.""

A student voices his frustration at the CJP protest: ""Why is no one talking about reservation?""

@RitikaChandola https://t.co/SZrH5ZtmHY",OpIndia_com,Fri Jul 24 10:12:41 +0000 2026,15459,5863,en
2078719404314075492,"GRWM To Join CJP Protest.

Now Big Revolution Will Come.

Not only Dharmendra Pradhan,
But Now Mudi Will Give Resignation.

🤡
#cjp https://t.co/r3RFNiuHD9",Dear_Men_Life,Sun Jul 19 05:51:41 +0000 2026,2181,305,en
2080199305000870236,"She is abusing Prime Minister of India &amp; also Prime Minister of Italy

Just listen to the language 

It is important to post these videos without any cuts &amp; blurs

Social Media &amp; Internet Impressions never die

This protest has now captured some highly abusive youth with clear https://t.co/Uy7tC2WYL2",FltLtAnoopVerma,Thu Jul 23 07:52:17 +0000 2026,1740,1260,en
2079023674154516525,"BOLD STATEMENT : I don't want to die before I actually die. 🔥

Journalist : During Anna Hazare's protest, we saw Aamir Khan, Anupam Kher, Amitabh Bachchan and many other actors speaking up. 

Why is no one coming forward for Sonam Wangchuk and CJP protest ?

Prakash Raj : They https://t.co/l1DSvXDuqh",Priyaa_Purohit,Mon Jul 20 02:00:44 +0000 2026,37638,6503,en
2080996186039935270,"VIDEO | Delhi: CJP spokesperson Saurav Das says, ""Democracy has been restored.""

(Full video available on PTI Videos - https://t.co/n147TvrpG7)

#Delhi https://t.co/pyk4nwaB1D",PTI_News,Sat Jul 25 12:38:48 +0000 2026,316,35,en
2080950520873910309,"VIDEO | Delhi: Addressing a gathering at Jantar Mantar, CJP founder Abhijeet Dipke says, ""If there is no Hindu Muslim politics, if there is only issue based politics, then big thrones will be shaken. When we rise above Hindu and Muslim politics and talk about issues, then it will https://t.co/ZBE5dlx0V9",PTI_News,Sat Jul 25 09:37:21 +0000 2026,2172,387,en
2079841999088476605,"""Mere Pass Puja Karne Ka Time Nahi Hain""

""Ram Mare huye""

-These are phrases being used in protest that was being portrayed and presented as student's protest!

Anti-hindu face of CJP protest is now for everyone to see. https://t.co/Tpz3J6SQFu",PoliticalKida,Wed Jul 22 08:12:28 +0000 2026,6846,2985,en
2080402213806223579,"Delhi Police is blatantly lying that no students are being illegally detained while they are on their way to, or returning from, the protest at Jantar Mantar.

They detained 20–25 students at Lodhi Colony Police Station. The SHO lied both on camera and in writing, claiming they https://t.co/m44f6j8BVs",ZiddiNaagrik,Thu Jul 23 21:18:34 +0000 2026,3954,1853,en
2080878706214764886,"Abhijeet Dipke: The BJP has sent goons and hooligans in the CJP protest who were responsible for the stone pelting and attack on police.

Then why was your Paw Paw, Aravind Kejriwal sitting at the Delhi Police station,with his team, for securing their release, Dipke ???? https://t.co/AfM7qrc8nh",PoornimaNimo,Sat Jul 25 04:51:59 +0000 2026,1751,792,en
2080984299717714285,Delhi police flags 400 people with criminal records near CJP protest using facial recognition system‼️‼️⁉️,Shibananda_M,Sat Jul 25 11:51:34 +0000 2026,3,3,en
2080993075405722085,"CJP ENDS 37-DAY PROTEST WITH PRADHAN OUT AND GOVT ON RECORD 🚨

SAURAV DAS 🔥: Pradhan is out. FIRs will be withdrawn, future targeting stopped and a written guarantee delivered by Tuesday.

JP NADDA: Govt agrees to maximum compensation under the rules and further talks on the https://t.co/iJol68y0C7",sharma_views,Sat Jul 25 12:26:26 +0000 2026,466,48,en
2079153366526218514,"Actor-activist #PrakashRaj joined the #CJP protest, holding up the Constitution as the crowd erupted in cheers.

(Video Credit: PTI)

#NEETProtest #Trending #Celebs https://t.co/SW94R4cvKy",filmfare,Mon Jul 20 10:36:06 +0000 2026,7184,1169,en
2080470324261630386,"Female Lallantop Journo Calls Out CJP Protest Now As Abusive &amp; ""Mela""

Journo:
""To be honest now recording video becomes difficult""

""When start recording only we hear is abuses""

""People coming here as if i is Mela""

""Earlier slogans Bharat Mata Ki Jai Now Just Abuses""
#cjp https://t.co/bdUuF2Bwa3",Dear_Men_Life,Fri Jul 24 01:49:13 +0000 2026,5518,1406,en
2080959956791214417,"Amid FIRs filed against 'criminals' for violence at the Delhi's Jantar Mantar protest, CJP makes new demand - Public apology from RAF and Delhi police 

@ShivAroor @PadmajaJoshi https://t.co/7HseFKNCIX",ndtv,Sat Jul 25 10:14:50 +0000 2026,29,5,en
2081014621608067136,"🚨 #BREAKING | CJP Calls Off Protest

Delhi: Following talks between the Cockroach Janta Party (CJP) delegation and the government, CJP spokesperson Ashutosh Ranka announced during a joint press conference that all of the party's demands had been accepted.

«“All our demands have https://t.co/v9qobch4re",Afternoon_Voice,Sat Jul 25 13:52:03 +0000 2026,0,0,en
2080987527356510385,"BREAKING | CJP Withdraws Protest, Asks Protesters to Return Home",TimesNow,Sat Jul 25 12:04:24 +0000 2026,367,20,en
2078898948656521567,"This Is Truly Heartwarming : ❤️

Specially-abled students at the CJP protest at Jantar Mantar are sharing their voices through sign language.👇 https://t.co/eWkCltO7no",Priyaa_Purohit,Sun Jul 19 17:45:08 +0000 2026,29148,6462,en
2079443179527684502,The Delhi Police slapping and hitting a 10 year old boy during the protest. https://t.co/OpKVRWg7oS,Cockroachisback,Tue Jul 21 05:47:42 +0000 2026,42360,13470,en
2079480078048862343,"CJP Protester at Jantar Mantar -

""Muslims are a hundred thousand times better than Hindus. It’s better to have Muslim friends than these Hindu friends"" 

""Her mother gives me food. Making Temple won't help"" 😳

CJP protest has nothing to do with NEET https://t.co/zWxC1SzizA",NewsAlgebraIND,Tue Jul 21 08:14:20 +0000 2026,14022,3963,en
